mass_A
t	x	v_{x}
0.6375000000000002	0.09054186608705708	0.1985047587009354
0.6416666666666667	0.0913088521856186	0.19631980797245388
0.6458333333333335	0.09217786448682755	0.20251173219927815
0.6500000000000002	0.09299644995394599	0.19335760726191867
0.6541666666666668	0.09378917788067684	0.19992949368346674
0.6583333333333334	0.09466252906797482	0.20572731994697907
0.6625	0.09550357221356834	0.18440300772686402
0.6666666666666667	0.09619922079903201	0.17813820501261343
0.6708333333333335	0.09698805725534013	0.18980527010993728
0.675	0.0977809313832815	0.19917211604103044
0.6791666666666667	0.09864782488901538	0.2073016888474082
0.6833333333333332	0.09950844545700985	0.20624053157374822
0.6875	0.10036649598546324	0.19692431395198454
0.6916666666666668	0.10114948140660976	0.09532176818007333
0.6958333333333333	0.10116084405363054	0.0022947942129464974
0.7000000000000002	0.10116860469171765	0.2901369506912516
0.7041666666666667	0.10357865197605767	0.3939356004820806
0.7083333333333335	0.10445140136240164	0.2118398715378456
0.7125000000000002	0.10534398423887306	0.19527526827784034
0.7166666666666668	0.106078695264717	0.17961678107115636
0.7208333333333334	0.10684079074779937	0.1804307149680834
0.725	0.10758228455611765	0.19061795890602806
0.7291666666666667	0.10842927373868291	0.19968879302598735
0.7333333333333335	0.10924635783133427	0.18738226405816757
0.7375	0.1099907926058343	0.1723425530749285
0.7416666666666667	0.11068254577362532	0.18243093814900768
0.7458333333333332	0.11151105042374268	0.19640275137844102
0.75	0.11231923536844565	0.18551562284921932
0.7541666666666668	0.11305701394748621	0.18581255432620872
0.7583333333333335	0.11386767332116407	0.19958665719325466
0.7625000000000002	0.11472023609076334	0.18726148511469462
0.7666666666666667	0.11542818569711985	0.17676348933600836
0.7708333333333335	0.1161932651685634	0.08816216882385472
0.7750000000000002	0.11616287043731863	-0.006176214087402456
0.7791666666666668	0.11614179671783506	0.28291276469442184
0.7833333333333334	0.1185204768097721	0.38612823442593774
0.7875	0.1193595320047178	0.18712260727577734
0.7916666666666667	0.12007983187040358	0.1653545126773125
0.7958333333333335	0.12073748627702877	0.17260397495754645
0.8	0.12151819832838315	0.1894009048400899
0.8041666666666667	0.1223158271506962	0.1949255124628052
0.8083333333333332	0.12314257759890648	0.19557763328316963
0.8125	0.12394564076138923	0.17868000330330253
0.8166666666666668	0.12463157762643404	0.16917458720981682
0.8208333333333335	0.12535542898813776	0.17743595965352185
0.8250000000000002	0.12611021062354674	0.1837835761200188
0.8291666666666667	0.1268869587891379	0.17970828139411485
0.8333333333333335	0.12760777963516437	0.17415558077650997
0.8375000000000002	0.12833825529560886	0.18202551118531204
0.8416666666666668	0.12912465889504196	0.1842855926209139
0.8458333333333334	0.12987396856744973	0.1735401938688401
0.85	0.13057082717728227	0.16923587614860233
0.8541666666666667	0.1312842675353548	0.18204502875359907
0.8583333333333335	0.13208786908356232	0.18208837596774136
0.8625	0.13280167066841927	0.17450602006223
0.8666666666666667	0.1335420859174142	0.17511301216546785
0.8708333333333332	0.13426094576979816	0.16783076605622027
0.875	0.13494067563454934	0.16476772020227898
0.8791666666666668	0.13563401010481715	0.15969580812139703
0.8833333333333335	0.13627147403556103	0.1604881406260261
0.8875000000000002	0.13697141127670073	0.16752647780113072
0.8916666666666667	0.1376675280172371	0.1679563553389662
0.8958333333333335	0.13837104757119215	0.1625181778571943
0.9000000000000002	0.1390218461660471	0.1536788682653851
0.9041666666666668	0.13965170480673697	0.15310863948314452
0.9083333333333334	0.14029775149507326	0.15948046052585624
0.9125	0.14098070864445242	0.15618609065463054
0.9166666666666667	0.1415993022505285	0.15759561693806534
0.9208333333333335	0.1422940054522697	0.15262755243055026
0.925	0.1428711985207831	0.14712364764694547
0.9291666666666667	0.14352003584932752	0.14297310711537506
0.9333333333333332	0.14406264108007785	0.1397516104937887
0.9375	0.14468463260344241	0.1402851300622151
0.941666666666667	0.1452316838305964	0.1378638657051594
0.9458333333333335	0.14583349815098548	0.14357950465768707
